url_path,views_total,views_unique
/vladdoster/dotfiles/tree/master/zsh/.config/zsh/rc.d,11,1
/vladdoster/dotfiles/tree/master/zsh/.config/zsh,9,2
/vladdoster/dotfiles/blob/master/zsh/.config/zsh/rc.d/06-zinit.zsh,9,1
/vladdoster/dotfiles/tree/master/zsh,8,2
/vladdoster/dotfiles,7,4
/vladdoster/dotfiles/blob/master/zsh/.config/zsh/.zshrc,6,2
/vladdoster/dotfiles/commit/1527943b377e35dc870a654f7c36cae13c63187d,5,2
/vladdoster/dotfiles/blob/master/zsh/.config/zsh/rc.d/01-alias.zsh,5,1
/vladdoster/dotfiles/blob/c6e55c68815f0fc0dea9320a6905a0d5394d09ef/CHANGELOG.md,4,2
/vladdoster/dotfiles/tree/master/yabai/.config/yabai,4,1
