url_path,views_total,views_unique
/vladdoster/dotfiles/tree/master/zsh/.config/zsh,25,4
/vladdoster/dotfiles/tree/master/zsh/.config/zsh/rc.d,23,3
/vladdoster/dotfiles/tree/master/zsh,22,4
/vladdoster/dotfiles/blob/master/zsh/.config/zsh/rc.d/04-zinit.zsh,22,3
/vladdoster/dotfiles,16,7
/vladdoster/dotfiles/blob/2d80cafa6bfe5704349a72e0af49bd37ee2cc4ae/zsh/.config/zsh/rc.d/01-env.zsh,12,1
/vladdoster/dotfiles/blob/2d80cafa6bfe5704349a72e0af49bd37ee2cc4ae/zsh/.config/zsh/rc.d/02-dirs.zsh,12,1
/vladdoster/dotfiles/blob/2d80cafa6bfe5704349a72e0af49bd37ee2cc4ae/zsh/.config/zsh/rc.d/03-completion.zsh,12,1
/vladdoster/dotfiles/blob/master/zsh/.config/zsh/rc.d/00-alias.zsh,10,3
/vladdoster/dotfiles/tree/master/zsh/.config/zsh/functions,8,4
