url_path,views_total,views_unique
/vladdoster/dotfiles/tree/master/zsh/.config/zsh,27,4
/vladdoster/dotfiles/tree/master/zsh,26,5
/vladdoster/dotfiles,24,7
/vladdoster/dotfiles/blob/master/zsh/.config/zsh/rc.d/04-zinit.zsh,24,4
/vladdoster/dotfiles/tree/master/zsh/.config/zsh/rc.d,23,4
/vladdoster/dotfiles/edit/master/zsh/.config/zsh/rc.d/04-zinit.zsh,8,1
/vladdoster/dotfiles/tree/f576eac227746503910e8d621dc3a1704e1454f4/zsh/.config/zsh,8,1
/vladdoster/dotfiles/actions/workflows/release.yml,7,1
/vladdoster/dotfiles/blob/f576eac227746503910e8d621dc3a1704e1454f4/zsh/.config/zsh/.zshrc,7,1
/vladdoster/dotfiles/blob/master/zsh/.zlogin,6,2
