time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-07 00:00:00+00:00,8,3,3.0,1.0
2025-11-08 00:00:00+00:00,7,3,,
2025-11-09 00:00:00+00:00,4,3,,
2025-11-10 00:00:00+00:00,9,5,,
2025-11-11 00:00:00+00:00,6,4,,
2025-11-12 00:00:00+00:00,4,3,1.0,1.0
2025-11-13 00:00:00+00:00,15,7,2.0,2.0
2025-11-14 00:00:00+00:00,22,9,1.0,1.0
2025-11-15 00:00:00+00:00,36,13,,
2025-11-16 00:00:00+00:00,30,10,,
2025-11-17 00:00:00+00:00,31,10,,
2025-11-18 00:00:00+00:00,31,10,2.0,2.0
2025-11-19 00:00:00+00:00,44,12,,
2025-11-20 00:00:00+00:00,27,9,1.0,1.0
