time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-06 00:00:00+00:00,890,499,86,63
2026-09-07 00:00:00+00:00,868,552,116,68
2026-09-08 00:00:00+00:00,1193,636,111,74
2026-09-09 00:00:00+00:00,1665,675,102,77
2026-09-10 00:00:00+00:00,1059,611,123,80
2026-09-11 00:00:00+00:00,882,547,168,91
2026-09-12 00:00:00+00:00,712,502,123,77
2026-09-13 00:00:00+00:00,886,650,77,55
2026-09-14 00:00:00+00:00,1039,617,117,77
2026-09-15 00:00:00+00:00,1015,587,121,91
2026-09-16 00:00:00+00:00,918,605,111,88
2026-09-17 00:00:00+00:00,1062,635,146,99
2026-09-18 00:00:00+00:00,1101,609,112,87
2026-09-19 00:00:00+00:00,1442,572,99,53
